,Kernel,Gamma,Cost,Accuracy,,,,,,,,,,,,,,,,,,
0,Linear,3.05E-05,0.03125,46.35761589,,,,,,,,,,,,,,,,,,
1,Linear,3.05E-05,0.125,52.31788079,,,,,,,,,,,,,,,,,,
2,Linear,3.05E-05,0.5,49.00662252,,,,,,,,,,,,,,,,,,
3,Linear,3.05E-05,1,47.68211921,,,,,,,,,,,,,,,,,,
4,Linear,3.05E-05,2,45.69536424,,,,,,,,,,,,,,,,,,
5,Linear,3.05E-05,8,45.03311258,,,,,,,,,,,,,,,,,,
6,Linear,3.05E-05,32,49.66887417,,,,,,,,,,,,,,,,,,
7,Linear,3.05E-05,128,47.01986755,,,,,,,,,,,,,,,,,,
8,Linear,3.05E-05,512,50.33112583,,,,,,,,,,,,,,,,,,
9,Linear,3.05E-05,2048,49.66887417,,,,,,,,,,,,,,,,,,
10,Linear,3.05E-05,8192,49.66887417,,,,,,,,,,,,,,,,,,
11,Linear,3.05E-05,32768,49.66887417,,,,,,,,,,,,,,,,,,
12,Linear,0.00012207,0.03125,47.01986755,,,,,,,,,,,,,,,,,,
13,Linear,0.00012207,0.125,47.01986755,,,,,,,,,,,,,,,,,,
14,Linear,0.00012207,0.5,46.35761589,,,,,,,,,,,,,,,,,,
15,Linear,0.00012207,1,48.34437086,,,,,,,,,,,,,,,,,,
16,Linear,0.00012207,2,47.01986755,,,,,,,,,,,,,,,,,,
17,Linear,0.00012207,8,47.01986755,,,,,,,,,,,,,,,,,,
18,Linear,0.00012207,32,47.01986755,,,,,,,,,,,,,,,,,,
19,Linear,0.00012207,128,47.68211921,,,,,,,,,,,,,,,,,,
20,Linear,0.00012207,512,47.68211921,,,,,,,,,,,,,,,,,,
21,Linear,0.00012207,2048,48.34437086,,,,,,,,,,,,,,,,,,
22,Linear,0.00012207,8192,50.33112583,,,,,,,,,,,,,,,,,,
23,Linear,0.00012207,32768,48.34437086,,,,,,,,,,,,,,,,,,
24,Linear,0.000488281,0.03125,50.99337748,,,,,,,,,,,,,,,,,,
25,Linear,0.000488281,0.125,46.35761589,,,,,,,,,,,,,,,,,,
26,Linear,0.000488281,0.5,50.33112583,,,,,,,,,,,,,,,,,,
27,Linear,0.000488281,1,48.34437086,,,,,,,,,,,,,,,,,,
28,Linear,0.000488281,2,47.68211921,,,,,,,,,,,,,,,,,,
29,Linear,0.000488281,8,47.01986755,,,,,,,,,,,,,,,,,,
30,Linear,0.000488281,32,47.68211921,,,,,,,,,,,,,,,,,,
31,Linear,0.000488281,128,49.00662252,,,,,,,,,,,,,,,,,,
32,Linear,0.000488281,512,44.37086093,,,,,,,,,,,,,,,,,,
33,Linear,0.000488281,2048,48.34437086,,,,,,,,,,,,,,,,,,
34,Linear,0.000488281,8192,44.37086093,,,,,,,,,,,,,,,,,,
35,Linear,0.000488281,32768,46.35761589,,,,,,,,,,,,,,,,,,
36,Linear,0.001953125,0.03125,48.34437086,,,,,,,,,,,,,,,,,,
37,Linear,0.001953125,0.125,47.01986755,,,,,,,,,,,,,,,,,,
38,Linear,0.001953125,0.5,49.66887417,,,,,,,,,,,,,,,,,,
39,Linear,0.001953125,1,49.66887417,,,,,,,,,,,,,,,,,,
40,Linear,0.001953125,2,47.68211921,,,,,,,,,,,,,,,,,,
41,Linear,0.001953125,8,49.66887417,,,,,,,,,,,,,,,,,,
42,Linear,0.001953125,32,45.69536424,,,,,,,,,,,,,,,,,,
43,Linear,0.001953125,128,47.68211921,,,,,,,,,,,,,,,,,,
44,Linear,0.001953125,512,48.34437086,,,,,,,,,,,,,,,,,,
45,Linear,0.001953125,2048,46.35761589,,,,,,,,,,,,,,,,,,
46,Linear,0.001953125,8192,48.34437086,,,,,,,,,,,,,,,,,,
47,Linear,0.001953125,32768,48.34437086,,,,,,,,,,,,,,,,,,
48,Linear,0.0078125,0.03125,49.66887417,,,,,,,,,,,,,,,,,,
49,Linear,0.0078125,0.125,47.01986755,,,,,,,,,,,,,,,,,,
50,Linear,0.0078125,0.5,48.34437086,,,,,,,,,,,,,,,,,,
51,Linear,0.0078125,1,47.68211921,,,,,,,,,,,,,,,,,,
52,Linear,0.0078125,2,45.03311258,,,,,,,,,,,,,,,,,,
53,Linear,0.0078125,8,44.37086093,,,,,,,,,,,,,,,,,,
54,Linear,0.0078125,32,45.69536424,,,,,,,,,,,,,,,,,,
55,Linear,0.0078125,128,45.03311258,,,,,,,,,,,,,,,,,,
56,Linear,0.0078125,512,48.34437086,,,,,,,,,,,,,,,,,,
57,Linear,0.0078125,2048,47.68211921,,,,,,,,,,,,,,,,,,
58,Linear,0.0078125,8192,45.69536424,,,,,,,,,,,,,,,,,,
59,Linear,0.0078125,32768,49.00662252,,,,,,,,,,,,,,,,,,
60,Linear,0.03125,0.03125,49.66887417,,,,,,,,,,,,,,,,,,
61,Linear,0.03125,0.125,50.99337748,,,,,,,,,,,,,,,,,,
62,Linear,0.03125,0.5,46.35761589,,,,,,,,,,,,,,,,,,
63,Linear,0.03125,1,47.01986755,,,,,,,,,,,,,,,,,,
64,Linear,0.03125,2,45.69536424,,,,,,,,,,,,,,,,,,
65,Linear,0.03125,8,47.01986755,,,,,,,,,,,,,,,,,,
66,Linear,0.03125,32,48.34437086,,,,,,,,,,,,,,,,,,
67,Linear,0.03125,128,50.33112583,,,,,,,,,,,,,,,,,,
68,Linear,0.03125,512,47.01986755,,,,,,,,,,,,,,,,,,
69,Linear,0.03125,2048,47.68211921,,,,,,,,,,,,,,,,,,
70,Linear,0.03125,8192,45.03311258,,,,,,,,,,,,,,,,,,
71,Linear,0.03125,32768,48.34437086,,,,,,,,,,,,,,,,,,
72,Linear,0.125,0.03125,47.01986755,,,,,,,,,,,,,,,,,,
73,Linear,0.125,0.125,49.66887417,,,,,,,,,,,,,,,,,,
74,Linear,0.125,0.5,45.03311258,,,,,,,,,,,,,,,,,,
75,Linear,0.125,1,49.00662252,,,,,,,,,,,,,,,,,,
76,Linear,0.125,2,47.68211921,,,,,,,,,,,,,,,,,,
77,Linear,0.125,8,48.34437086,,,,,,,,,,,,,,,,,,
78,Linear,0.125,32,47.01986755,,,,,,,,,,,,,,,,,,
79,Linear,0.125,128,49.66887417,,,,,,,,,,,,,,,,,,
80,Linear,0.125,512,50.33112583,,,,,,,,,,,,,,,,,,
81,Linear,0.125,2048,45.03311258,,,,,,,,,,,,,,,,,,
82,Linear,0.125,8192,44.37086093,,,,,,,,,,,,,,,,,,
83,Linear,0.125,32768,49.00662252,,,,,,,,,,,,,,,,,,
84,Linear,0.5,0.03125,48.34437086,,,,,,,,,,,,,,,,,,
85,Linear,0.5,0.125,47.01986755,,,,,,,,,,,,,,,,,,
86,Linear,0.5,0.5,50.33112583,,,,,,,,,,,,,,,,,,
87,Linear,0.5,1,47.01986755,,,,,,,,,,,,,,,,,,
88,Linear,0.5,2,47.01986755,,,,,,,,,,,,,,,,,,
89,Linear,0.5,8,46.35761589,,,,,,,,,,,,,,,,,,
90,Linear,0.5,32,49.00662252,,,,,,,,,,,,,,,,,,
91,Linear,0.5,128,49.00662252,,,,,,,,,,,,,,,,,,
92,Linear,0.5,512,51.65562914,,,,,,,,,,,,,,,,,,
93,Linear,0.5,2048,46.35761589,,,,,,,,,,,,,,,,,,
